athlete_id,sport,age,gender,training_years,vo2_max,hrv,lactate_threshold,stride_length,cadence,force_application,performance_score,adaptability_score,skiing_potential
A0884,cycling,24,M,3,64.2,88.6,82.4,0.99,158,220.8,9.58,8.75,95.2
A0885,rowing,34,M,3,73.2,75.4,86.9,0.8,180,250.5,7.53,6.68,88.5
A0886,rowing,32,M,7,63.3,90.8,73.4,1.04,154,302.0,7.8,6.06,91.4
A0887,cycling,32,M,4,58.8,65.7,77.3,1.12,185,395.9,9.82,5.14,90.9
A0888,rowing,18,M,3,69.9,68.2,81.7,1.2,165,212.7,8.33,9.85,64.8
A0889,cycling,31,F,15,61.1,87.4,75.7,1.28,191,240.0,9.37,7.34,66.4
A0890,rowing,22,F,8,58.0,82.4,89.6,0.84,190,325.5,8.48,5.81,72.7
A0891,cycling,28,M,3,68.1,68.2,75.3,1.13,165,260.9,8.41,8.79,72.0
A0892,cycling,33,M,13,70.0,96.1,79.4,0.99,169,371.7,7.44,9.44,62.6
A0893,cycling,19,F,14,69.8,71.0,87.5,1.46,179,227.9,9.55,7.64,66.1
A0894,rowing,25,M,7,74.4,76.8,71.6,1.05,175,392.6,7.24,5.14,94.2
A0895,rowing,28,F,2,69.7,68.1,86.4,0.87,198,382.5,7.93,6.83,83.6
A0896,rowing,35,F,11,69.2,75.5,81.4,0.83,180,377.5,9.02,6.22,73.7
A0897,cycling,20,M,11,71.4,79.7,70.6,0.99,199,234.6,8.52,8.18,81.1
A0898,rowing,18,F,1,50.0,71.8,88.1,0.93,164,265.9,9.64,7.59,70.5
A0899,rowing,28,M,12,59.1,90.8,70.8,1.25,190,360.8,7.12,6.78,83.4
A0900,cycling,33,M,6,68.4,75.8,80.3,1.39,187,361.6,8.95,8.24,63.0
A0901,running,35,F,8,65.0,89.2,71.0,1.02,187,341.0,8.43,7.92,96.1
A0902,cycling,33,F,1,54.4,68.3,71.4,1.2,192,289.6,7.46,9.53,69.6
A0903,rowing,27,M,13,57.6,75.1,87.7,1.31,169,262.3,9.23,7.98,92.8
A0904,cycling,35,F,10,58.4,60.3,85.3,1.08,184,392.6,8.23,7.54,86.4
A0905,running,23,M,12,64.2,90.3,73.9,0.85,172,227.9,8.59,9.12,80.9
A0906,cycling,21,F,9,70.8,85.0,82.4,0.96,193,208.8,9.9,6.01,97.2
A0907,rowing,30,F,15,73.3,92.7,85.9,1.42,196,201.8,8.46,6.22,66.3
A0908,running,31,M,3,68.8,78.2,87.8,1.38,188,355.0,9.47,8.92,64.8
A0909,rowing,20,M,3,71.1,92.0,79.4,0.86,174,211.3,9.31,7.21,72.9
A0910,running,27,M,4,61.8,85.9,87.9,0.96,199,307.7,8.99,7.05,93.2
A0911,running,23,F,11,59.7,60.1,80.2,1.34,171,273.5,9.69,9.44,61.4
A0912,cycling,18,M,15,59.8,70.1,83.8,1.14,196,229.4,7.75,8.05,69.6
A0913,cycling,31,M,1,65.4,79.8,89.6,1.33,157,348.1,9.46,9.01,77.0
A0914,rowing,25,F,9,53.1,84.7,74.7,0.95,158,211.0,8.13,9.05,88.5
A0915,cycling,31,F,11,64.5,62.6,73.4,1.47,164,263.7,9.44,5.6,72.0
A0916,cycling,27,M,3,66.6,88.2,76.8,1.35,197,312.4,8.48,8.27,77.9
A0917,running,34,M,13,61.0,81.7,73.3,0.94,169,280.5,9.57,9.76,73.5
A0918,cycling,26,M,10,73.8,81.0,75.7,1.19,184,251.8,9.68,7.4,63.7
A0919,running,23,M,4,65.2,71.7,84.9,0.88,186,385.2,8.79,8.66,89.5
A0920,running,28,F,1,55.5,83.8,79.6,1.05,152,386.2,8.52,7.83,78.5
A0921,running,24,F,4,62.0,61.1,77.5,1.26,183,283.2,9.35,6.02,92.5
A0922,rowing,34,M,13,66.9,62.6,77.4,1.03,183,278.7,7.8,5.98,87.8
A0923,rowing,18,M,1,58.1,89.4,73.9,1.26,185,261.5,7.05,7.17,62.3
A0924,rowing,22,M,5,52.0,72.9,78.9,0.97,184,371.2,8.22,7.41,80.0
A0925,running,26,F,5,64.6,73.9,82.5,1.3,158,313.6,8.52,7.52,99.6
A0926,rowing,35,M,14,73.7,68.3,72.8,1.05,179,217.9,7.89,9.78,72.3
A0927,rowing,19,M,11,62.1,77.8,89.5,1.35,175,370.7,8.15,5.5,79.7
A0928,cycling,28,F,7,72.7,62.1,78.9,0.9,161,307.0,7.4,6.9,86.1
A0929,rowing,23,F,14,70.9,72.0,89.0,1.05,173,283.1,7.83,7.57,68.1
A0930,rowing,25,M,8,53.7,81.1,72.7,1.12,190,267.6,7.72,9.82,88.1
A0931,running,21,M,4,67.7,78.6,85.3,1.1,168,219.9,7.9,7.52,86.4
A0932,running,35,F,7,60.9,100.0,82.4,1.1,193,391.3,7.9,8.88,75.0
A0933,running,28,M,4,56.3,75.6,86.4,1.11,165,348.2,8.68,8.75,71.4
A0934,running,22,M,3,67.2,75.5,82.0,1.49,175,226.4,7.75,7.83,96.8
A0935,running,32,F,15,68.6,80.1,89.3,0.94,172,302.3,9.82,5.65,65.1
A0936,running,35,F,6,54.5,67.6,82.5,1.34,182,311.1,8.53,6.09,77.3
A0937,rowing,19,F,4,72.9,95.1,85.7,1.19,191,233.6,7.39,6.2,90.7
A0938,running,28,M,14,68.8,82.9,87.6,1.09,179,285.4,7.84,5.19,65.9
A0939,running,30,F,3,73.3,67.7,84.3,1.24,172,329.1,9.19,6.9,97.3
A0940,cycling,21,F,15,57.9,91.7,80.5,1.4,159,256.8,7.04,8.05,81.1
A0941,rowing,24,M,15,73.5,61.4,75.5,1.13,185,266.3,9.81,5.72,80.2
A0942,rowing,28,M,9,59.2,99.3,87.1,1.41,180,224.4,8.34,5.88,77.0
A0943,rowing,21,F,5,51.3,94.6,79.6,0.87,192,282.6,8.56,8.53,94.7
A0944,running,32,F,13,69.1,83.2,82.4,1.26,171,316.8,9.97,5.85,97.9
A0945,running,18,M,14,67.6,64.5,71.6,1.03,192,223.3,8.51,5.68,75.2
A0946,running,20,M,7,64.9,68.6,79.9,1.07,192,323.0,9.84,9.89,81.7
A0947,cycling,31,F,12,62.2,71.2,84.0,1.2,187,279.6,9.75,5.07,72.6
A0948,running,23,F,14,50.8,69.6,81.7,1.14,196,335.6,9.82,6.63,74.7
A0949,cycling,35,M,6,65.6,79.9,79.0,1.07,151,263.0,9.44,5.17,61.1
A0950,rowing,18,F,10,60.4,97.8,74.5,1.02,172,313.7,7.89,9.19,91.4
A0951,running,23,M,15,64.0,77.8,76.2,1.23,184,322.6,8.04,7.92,98.8
A0952,cycling,23,F,5,60.7,86.5,84.0,1.15,186,338.1,8.09,5.24,90.8
A0953,cycling,33,M,7,74.2,87.5,74.5,1.03,181,351.4,9.94,8.08,80.7
A0954,running,22,M,11,65.1,94.9,82.4,0.94,192,227.3,8.08,5.62,93.1
A0955,rowing,34,F,6,68.7,61.4,81.8,1.34,161,393.0,7.33,7.48,94.3
A0956,rowing,27,F,10,73.4,76.2,89.4,1.36,184,368.7,9.33,8.35,81.8
A0957,rowing,35,M,2,64.8,91.4,71.2,0.95,190,312.5,8.1,5.74,97.5
A0958,cycling,24,F,13,50.3,92.6,72.2,0.98,152,378.1,8.86,7.49,61.2
A0959,cycling,20,F,13,50.9,97.1,80.1,0.97,183,276.5,9.77,7.29,60.4
A0960,cycling,30,F,13,67.6,88.1,80.5,1.42,187,206.9,8.73,9.58,63.3
A0961,cycling,32,M,3,57.0,69.8,70.8,1.34,173,345.4,8.91,9.98,62.3
A0962,rowing,20,F,2,64.5,80.2,86.5,0.85,187,388.7,8.93,8.27,77.0
A0963,running,21,F,12,55.1,61.3,79.9,1.38,166,232.4,8.84,9.27,97.6
A0964,cycling,22,M,3,56.8,85.9,76.9,0.83,189,328.8,7.48,8.23,87.0
A0965,cycling,18,F,1,62.6,82.2,76.4,0.98,150,362.7,8.37,9.38,86.4
A0966,rowing,21,F,8,74.4,86.7,87.2,1.44,157,381.0,7.02,7.17,75.4
A0967,running,29,M,6,65.4,97.2,73.9,1.41,164,255.3,8.88,8.04,81.4
A0968,running,27,M,13,73.4,87.5,73.2,1.35,199,225.7,8.73,9.23,72.2
A0969,rowing,30,F,2,74.0,72.8,74.3,1.12,194,249.6,7.95,9.59,80.7
A0970,rowing,31,F,8,55.2,67.9,82.5,1.02,174,315.5,8.57,5.12,89.9
A0971,running,22,M,6,57.8,94.2,86.2,1.42,157,383.7,8.48,5.52,82.3
A0972,cycling,21,M,7,69.2,67.8,76.6,1.26,181,316.5,7.75,9.66,76.8
A0973,running,31,F,11,71.7,66.5,73.5,1.01,199,383.9,7.88,7.84,93.8
A0974,rowing,27,F,1,63.0,68.3,74.2,1.12,162,354.0,9.29,9.95,71.5
A0975,cycling,34,F,7,74.8,80.4,82.4,1.42,195,319.7,9.27,8.96,79.3
A0976,cycling,27,M,3,50.3,65.0,74.9,1.43,164,204.4,8.41,9.09,99.1
A0977,rowing,24,F,11,57.5,97.5,87.5,1.26,155,266.6,9.15,6.93,98.7
A0978,rowing,33,M,12,65.6,98.7,72.1,1.31,182,211.5,8.35,6.29,60.3
A0979,rowing,18,M,8,61.7,99.0,70.6,0.83,156,264.4,9.55,7.99,81.3
A0980,running,34,M,6,52.9,61.6,71.8,1.22,182,212.5,8.0,9.4,73.5
A0981,running,26,F,4,59.2,97.8,86.9,1.28,196,233.6,9.78,8.63,71.6
A0982,cycling,23,F,11,50.6,99.9,83.0,0.81,178,282.1,8.63,7.36,83.9
A0983,rowing,30,F,8,66.1,97.7,89.2,1.39,187,303.0,8.61,8.77,77.9
A0984,cycling,20,M,9,72.3,86.8,76.7,1.45,186,243.4,9.01,8.45,89.3
A0985,cycling,24,F,10,72.1,88.0,74.3,0.97,193,346.5,8.02,9.57,61.1
A0986,cycling,26,M,2,67.5,64.9,81.2,1.39,181,318.1,9.17,6.32,97.1
A0987,cycling,22,M,15,61.6,95.0,80.8,1.27,152,338.4,7.96,5.6,82.7
A0988,rowing,27,M,6,62.8,62.4,81.8,1.21,169,346.6,8.19,7.35,87.4
A0989,cycling,34,M,5,53.4,72.7,77.0,1.39,163,345.4,9.02,6.81,84.2
A0990,rowing,29,M,5,58.5,99.6,70.1,1.0,177,387.2,8.14,9.87,99.6
A0991,rowing,33,M,10,54.7,76.9,70.7,1.35,187,247.4,7.6,5.04,99.5
A0992,running,20,F,11,70.5,65.2,83.3,1.02,153,254.0,9.62,9.67,84.4
A0993,rowing,26,M,3,72.9,98.8,80.5,1.35,164,218.8,9.77,9.78,87.4
A0994,running,32,F,12,63.4,99.4,86.4,1.12,166,318.5,8.88,5.25,84.7
A0995,rowing,22,M,8,68.2,67.5,76.0,0.88,186,279.0,9.43,9.45,72.4
A0996,rowing,30,F,14,53.0,94.6,86.3,1.07,173,299.2,9.96,7.35,67.7
A0997,rowing,31,F,8,65.2,75.6,78.5,0.96,187,234.0,8.84,8.83,76.1
A0998,running,32,F,12,67.6,75.3,71.9,0.87,191,329.8,9.73,5.4,87.3
A0999,running,33,F,5,61.3,70.5,89.6,0.88,190,323.8,8.08,9.78,62.2
A1000,cycling,30,M,8,56.1,61.8,80.2,1.35,185,253.0,9.1,8.04,80.6
A1001,running,34,M,10,71.9,70.7,82.6,1.42,190,293.1,7.17,9.49,76.3
A1002,running,25,M,15,68.6,62.2,83.4,1.45,157,378.9,9.37,8.36,81.1
A1003,running,19,M,8,72.5,97.0,77.2,1.4,152,354.7,9.49,7.68,94.4
A1004,running,22,F,3,70.5,86.5,85.0,1.38,179,245.4,8.2,5.86,61.9
A1005,cycling,23,F,2,74.8,95.5,87.4,0.85,171,375.8,8.92,5.89,90.5
A1006,running,29,F,9,54.8,88.7,77.7,1.35,182,213.5,9.58,7.36,86.7
A1007,rowing,35,M,2,52.2,65.3,83.1,1.35,174,282.8,9.65,9.35,68.2
A1008,rowing,18,F,9,58.4,97.6,85.1,0.89,179,216.0,7.32,5.58,89.4
A1009,running,34,M,4,53.2,96.0,73.8,1.26,186,384.8,9.48,9.99,79.9
A1010,running,28,F,12,63.1,73.9,76.7,1.12,152,208.1,7.82,9.38,79.2
A1011,rowing,27,F,13,65.8,64.5,72.2,1.43,153,230.2,9.18,6.96,79.3
A1012,rowing,31,F,2,64.5,88.2,82.0,1.29,178,383.0,7.98,6.27,98.0
A1013,cycling,27,F,10,56.5,89.1,86.0,1.47,181,316.4,7.17,9.61,97.8
A1014,rowing,32,F,1,72.7,95.9,82.2,0.87,172,359.0,7.63,5.62,96.5
A1015,rowing,21,M,4,50.5,62.1,73.6,0.83,168,203.3,8.23,6.74,95.5
A1016,running,19,F,9,58.7,65.7,80.9,1.48,164,283.8,9.22,5.42,61.5
A1017,rowing,26,M,12,68.0,83.9,86.7,0.86,200,396.9,7.3,9.77,76.0
A1018,cycling,27,M,9,69.2,84.8,76.1,1.07,165,316.0,9.44,8.09,95.8
A1019,rowing,28,M,4,60.4,61.3,86.7,1.25,172,369.9,9.99,6.68,90.2
A1020,running,31,M,9,50.4,75.9,85.7,1.42,189,392.7,9.36,6.38,78.3
A1021,running,24,M,15,65.5,83.4,70.4,0.98,195,337.0,8.42,7.22,90.9
A1022,rowing,32,M,12,51.6,89.5,74.8,0.82,186,265.5,8.7,5.46,68.3
A1023,running,32,M,6,52.7,72.6,80.9,1.16,150,261.7,7.02,9.45,84.0
A1024,cycling,25,M,1,66.3,79.4,84.4,1.13,168,214.3,7.63,7.55,81.3
A1025,cycling,28,F,10,57.8,92.6,87.6,1.01,186,285.6,9.7,8.63,82.9
A1026,rowing,26,F,13,58.7,98.2,82.8,1.41,184,383.1,7.07,6.17,88.9
A1027,rowing,32,M,14,62.2,69.2,77.6,1.32,179,295.6,9.71,7.52,98.0
A1028,rowing,18,M,6,74.5,70.1,73.7,1.4,166,382.2,7.34,6.06,70.6
A1029,running,18,M,9,74.1,97.6,85.2,0.91,188,363.4,7.4,9.08,90.3
A1030,cycling,20,F,13,60.4,75.8,74.1,1.28,198,396.8,7.53,8.88,85.8
A1031,cycling,27,F,2,56.6,88.7,83.9,1.48,175,389.5,9.4,5.74,87.8
A1032,running,25,M,6,57.6,84.5,73.6,1.23,162,341.3,8.43,5.37,77.2
A1033,cycling,32,M,2,56.7,71.4,71.8,0.92,171,374.2,7.44,9.12,97.8
A1034,rowing,27,F,4,63.3,86.1,75.0,1.5,195,349.6,9.06,5.55,79.2
A1035,rowing,18,F,15,65.2,86.2,75.7,1.17,172,340.7,9.82,7.74,64.9
A1036,rowing,35,M,8,62.2,83.7,82.9,1.39,193,343.1,8.72,7.67,87.2
A1037,cycling,19,M,13,60.2,64.0,73.2,0.9,192,344.2,7.3,6.01,65.2
A1038,rowing,30,M,7,55.3,99.8,88.6,1.27,182,275.9,7.16,7.96,72.9
A1039,running,18,M,11,62.1,76.0,81.1,1.44,176,284.7,9.39,7.51,69.1
A1040,running,19,F,12,58.5,85.5,79.8,1.17,184,258.8,8.88,7.55,81.6
A1041,cycling,33,F,13,63.5,95.4,78.7,1.0,161,229.7,9.77,6.8,73.9
A1042,running,32,M,9,66.9,76.9,81.3,0.89,158,291.7,8.64,9.19,66.4
A1043,running,30,M,7,65.8,91.0,70.4,1.01,183,380.0,7.19,5.42,91.6
A1044,cycling,33,M,1,61.6,98.9,89.8,1.05,163,330.3,8.21,7.19,78.7
A1045,rowing,34,F,2,63.9,74.4,81.2,1.3,186,211.2,8.97,6.3,78.2
A1046,rowing,24,M,6,57.1,76.2,70.7,0.93,152,362.2,8.15,9.24,95.5
A1047,rowing,34,M,7,50.6,96.2,81.8,0.87,193,387.1,10.0,6.13,81.6
A1048,cycling,24,M,3,65.6,66.4,78.7,1.07,193,365.9,8.22,8.84,88.4
A1049,running,30,F,9,56.3,61.1,70.5,1.12,170,345.5,8.64,8.06,73.1
A1050,rowing,22,M,13,66.7,96.4,88.5,1.24,156,230.0,7.68,9.37,82.5
A1051,rowing,34,F,15,68.7,92.9,70.2,1.3,182,269.8,7.46,7.97,89.1
A1052,cycling,20,M,7,72.9,98.9,81.6,1.42,184,313.1,8.94,7.78,71.9
A1053,rowing,24,M,14,74.0,62.3,89.2,1.0,160,215.4,8.77,9.01,87.5
A1054,cycling,34,M,6,50.3,66.2,74.8,1.17,194,221.3,7.01,7.81,82.8
A1055,running,24,F,13,74.8,64.2,75.1,1.06,181,386.9,7.85,9.22,77.4
A1056,cycling,18,M,6,67.1,87.3,70.0,0.8,171,340.5,8.93,5.25,88.5
A1057,cycling,34,M,1,66.1,84.2,71.3,1.21,191,255.0,9.44,7.48,72.7
A1058,cycling,34,F,13,50.4,74.4,70.9,1.37,168,265.5,7.94,9.06,88.6
A1059,cycling,28,F,5,71.5,62.3,86.5,0.83,185,276.9,8.94,9.24,82.0
A1060,running,20,F,10,53.6,85.6,86.7,0.8,186,215.0,7.8,9.17,69.8
A1061,running,32,M,3,70.9,82.8,84.5,1.31,160,347.8,9.07,8.02,86.7
A1062,rowing,28,F,7,50.4,64.5,77.1,1.28,190,235.4,9.09,9.97,95.4
A1063,running,33,M,10,66.1,96.4,86.4,1.08,162,361.0,7.39,5.91,72.4
A1064,running,26,F,3,60.9,68.0,80.8,1.26,177,369.2,9.0,5.87,92.5
A1065,rowing,18,F,5,55.0,89.7,76.1,1.47,198,327.7,8.0,5.16,73.4
A1066,running,33,F,7,52.7,95.4,78.7,0.97,164,354.0,7.52,9.95,92.8
A1067,cycling,26,M,14,61.0,83.2,71.3,0.97,162,234.4,8.5,6.74,62.0
A1068,cycling,29,M,3,53.1,69.9,88.9,0.93,192,315.2,8.36,8.81,60.3
A1069,rowing,26,M,13,62.2,72.4,82.4,1.31,182,335.4,9.32,5.3,64.5
A1070,rowing,24,M,13,65.6,95.4,84.6,1.05,157,332.3,7.25,6.49,95.0
A1071,rowing,31,M,10,70.7,71.9,83.5,1.49,181,223.5,9.37,8.12,81.3
A1072,cycling,19,M,2,67.0,89.8,83.4,1.3,186,268.9,7.32,7.62,83.8
A1073,running,26,M,6,51.6,99.6,70.3,1.06,197,265.0,7.62,6.04,93.7
A1074,cycling,30,M,8,57.7,100.0,80.5,0.9,153,314.5,8.55,7.31,62.0
A1075,rowing,32,M,4,57.2,81.3,86.4,1.21,200,353.0,8.39,5.54,75.5
A1076,running,20,F,9,72.9,93.1,70.9,1.01,167,314.1,9.97,7.71,85.7
A1077,running,28,F,12,71.7,99.6,89.1,1.43,172,351.0,8.77,5.48,76.2
A1078,cycling,31,M,12,59.3,75.0,78.5,1.11,178,219.8,7.98,8.18,61.3
A1079,rowing,25,M,15,51.8,70.1,75.8,1.0,151,375.6,9.7,5.78,86.0
A1080,cycling,35,M,8,72.4,64.6,80.6,1.21,162,307.3,7.94,7.74,75.7
A1081,running,33,M,7,72.2,65.6,86.0,0.9,165,207.5,7.82,5.65,60.8
A1082,cycling,19,F,14,71.4,94.1,79.5,1.19,157,328.6,8.48,7.0,66.8
A1083,cycling,25,F,7,71.1,83.5,82.9,0.84,168,303.5,9.74,6.76,68.7
A1084,rowing,23,M,3,62.0,94.9,80.0,1.22,181,244.1,9.13,8.78,80.4
A1085,rowing,29,F,14,54.4,91.6,82.6,1.17,152,352.9,9.03,8.21,67.5
A1086,running,32,F,6,61.9,86.9,72.8,1.16,200,386.7,9.18,9.69,74.5
A1087,cycling,25,M,13,62.4,84.4,70.8,1.28,198,264.5,8.98,9.61,90.0
A1088,cycling,21,M,13,62.2,61.9,72.7,0.83,181,298.8,9.28,8.62,92.3
A1089,cycling,32,M,5,63.5,94.9,75.7,1.12,190,225.6,7.58,8.85,91.8
A1090,running,34,M,1,56.4,76.7,75.1,1.11,170,386.0,7.53,8.12,87.8
A1091,running,30,F,11,59.2,82.4,82.3,1.12,174,263.8,8.09,8.46,81.7
A1092,rowing,35,M,3,60.9,60.9,79.1,1.49,166,239.0,9.55,8.09,82.0
A1093,rowing,19,F,13,53.3,97.4,70.8,0.9,174,295.7,9.14,6.56,98.1
A1094,rowing,30,M,12,61.4,96.1,70.7,1.28,182,208.7,8.7,6.75,95.1
A1095,cycling,30,F,1,70.3,81.7,71.8,1.08,180,250.6,7.06,7.87,86.0
A1096,cycling,32,M,4,70.7,83.1,77.1,1.16,185,213.5,7.71,8.6,78.7
A1097,rowing,27,M,10,60.3,88.2,70.1,1.33,172,225.5,9.41,7.03,89.2
A1098,cycling,20,F,3,63.0,70.6,79.9,0.91,196,222.4,7.73,5.71,62.5
A1099,rowing,20,F,11,50.8,68.9,77.2,1.33,193,374.5,9.19,7.3,97.8
A1100,running,31,F,4,66.9,87.0,81.1,0.85,174,386.1,7.55,9.82,81.9
A1101,rowing,25,M,9,60.1,64.2,84.4,1.14,198,294.9,8.82,6.07,80.1
A1102,running,21,F,3,61.1,78.2,75.0,1.32,193,326.1,8.88,8.25,71.6
A1103,cycling,28,F,12,71.8,79.7,73.1,0.93,197,339.2,9.26,9.91,60.1
A1104,rowing,28,F,6,61.5,75.3,75.6,1.34,179,278.3,8.32,6.88,62.4
A1105,cycling,28,F,6,50.5,67.4,70.0,0.92,162,274.0,8.9,9.44,70.5
A1106,running,19,F,7,55.7,74.2,72.4,1.36,192,335.1,8.46,9.32,81.7
A1107,running,34,F,9,61.9,73.5,85.0,1.13,196,275.3,9.84,6.7,63.3
A1108,running,26,F,12,60.6,80.0,74.5,1.28,178,316.2,8.57,5.49,98.9
A1109,cycling,19,F,7,71.5,87.0,89.9,1.44,165,303.0,7.63,5.89,76.4
A1110,cycling,32,F,14,63.6,98.7,73.4,1.09,187,304.9,9.0,6.83,72.7
A1111,cycling,33,M,1,67.2,65.8,85.8,0.96,176,365.9,8.65,9.8,81.0
A1112,cycling,21,M,15,61.7,94.9,84.1,1.41,175,340.8,9.41,6.37,62.6
A1113,running,25,F,8,61.0,71.4,76.4,0.91,160,392.1,7.53,9.63,94.0
A1114,running,26,M,5,61.2,83.7,76.6,1.24,196,358.2,7.78,5.91,78.4
A1115,rowing,22,M,9,60.3,81.9,81.3,1.45,186,229.2,9.76,9.85,67.1
A1116,rowing,33,F,10,63.5,82.3,87.0,1.27,152,347.7,9.79,6.47,66.5
A1117,cycling,30,F,13,56.3,88.9,77.7,0.94,175,333.1,8.33,8.17,74.4
A1118,running,24,F,15,72.3,75.3,71.2,0.91,183,329.2,7.14,5.35,82.9
A1119,running,34,F,12,58.3,72.8,77.5,0.98,182,296.1,7.92,6.5,76.7
A1120,running,20,F,5,53.7,94.1,74.1,1.07,164,212.5,7.74,6.05,83.9
A1121,rowing,22,F,5,52.4,68.8,88.8,0.91,151,390.3,8.24,5.02,88.2
A1122,rowing,29,M,15,50.3,67.2,83.9,1.36,177,370.4,7.95,5.78,89.9
A1123,running,24,F,12,60.6,60.6,71.0,1.05,169,297.4,9.49,7.97,76.0
A1124,running,26,M,12,54.7,68.4,75.9,1.46,187,231.7,7.01,6.95,88.7
A1125,running,23,F,14,50.5,80.7,71.0,1.39,193,364.9,8.93,8.61,65.7
A1126,rowing,34,F,2,63.0,81.5,86.6,1.44,165,286.1,8.99,8.36,80.5
A1127,running,33,M,12,67.0,70.2,88.1,1.01,195,278.0,8.98,9.0,62.9
A1128,running,20,F,11,52.1,62.9,72.2,1.2,153,333.1,8.56,9.34,69.8
A1129,cycling,21,F,3,61.5,89.8,78.8,1.03,157,351.7,8.83,9.1,83.3
A1130,cycling,27,M,10,68.6,90.3,88.6,0.98,193,212.6,9.43,7.24,89.6
A1131,rowing,22,F,9,74.6,99.9,72.9,1.22,195,353.5,9.35,6.54,63.8
A1132,running,27,M,7,66.7,96.0,75.8,1.37,169,346.8,7.1,7.51,68.3
A1133,running,29,F,1,56.1,97.0,76.1,0.87,175,317.8,7.09,7.68,99.7
A1134,cycling,27,F,3,67.9,91.9,70.6,0.99,181,267.7,9.52,6.57,73.5
A1135,rowing,30,M,12,64.9,84.6,70.7,0.94,162,233.0,8.72,7.7,71.4
A1136,cycling,28,F,2,55.3,65.1,89.1,1.36,154,220.5,9.87,5.53,63.4
A1137,cycling,33,M,1,71.3,84.9,81.4,1.45,193,200.2,8.29,6.16,87.8
A1138,cycling,25,M,9,60.7,62.2,76.1,0.86,191,241.3,7.53,8.73,80.3
A1139,cycling,25,M,8,74.0,95.4,77.6,1.07,200,282.3,8.42,5.91,66.3
A1140,running,25,F,15,68.1,79.3,84.3,1.44,162,248.7,8.31,5.7,85.3
A1141,running,30,F,5,66.1,87.9,77.3,1.04,190,261.8,8.55,6.44,81.0
A1142,cycling,19,M,11,68.2,62.1,74.6,1.3,160,278.1,9.42,6.86,82.6
A1143,rowing,29,F,12,62.0,81.4,72.0,0.87,186,261.7,8.97,6.64,99.8
A1144,rowing,27,F,2,62.6,72.1,84.6,1.11,181,344.9,7.56,6.87,61.1
A1145,rowing,29,F,1,71.3,71.4,73.6,1.15,194,298.3,9.2,5.7,96.6
A1146,rowing,28,M,7,67.0,75.6,71.4,1.33,191,203.9,8.78,5.83,93.7
A1147,cycling,32,F,13,72.4,60.0,78.5,1.0,167,245.3,8.73,6.18,76.6
A1148,running,33,M,11,72.3,78.7,70.8,0.98,178,341.9,9.03,7.01,95.2
A1149,rowing,34,F,11,74.4,79.5,89.3,1.01,164,260.2,8.69,6.68,85.9
A1150,cycling,19,F,15,67.5,94.5,82.5,1.19,169,384.0,8.37,8.96,95.6
A1151,rowing,35,M,2,62.6,77.9,73.1,1.41,193,342.5,8.92,7.63,83.8
A1152,rowing,29,F,1,54.2,74.5,73.4,1.38,185,258.0,9.17,7.88,68.6
A1153,cycling,35,M,2,67.6,99.8,81.4,0.84,154,303.3,7.68,7.8,83.0
A1154,running,34,F,7,57.3,82.8,77.1,1.42,189,333.4,8.49,6.99,67.2
A1155,running,23,M,7,57.1,78.9,85.5,0.87,186,238.7,8.37,9.9,65.6
A1156,cycling,32,F,10,56.0,79.8,80.9,1.09,182,249.2,7.12,5.19,86.2
A1157,running,20,F,6,71.9,92.4,78.7,1.34,167,301.4,9.5,6.08,97.9
A1158,cycling,23,F,5,71.7,73.6,89.3,0.86,168,385.0,8.13,6.42,83.5
A1159,cycling,20,M,3,65.8,75.6,77.8,0.83,200,268.8,7.22,9.41,91.8
A1160,cycling,18,M,14,61.8,90.2,78.0,1.03,181,280.4,8.37,9.59,66.7
A1161,running,30,M,12,66.8,62.9,83.3,1.31,191,238.1,7.48,9.23,86.2
A1162,cycling,31,F,3,65.2,94.6,86.2,1.17,171,318.6,9.11,7.08,89.3
A1163,rowing,30,M,11,60.4,77.2,82.5,1.09,190,348.0,8.72,9.57,61.7
A1164,running,21,M,13,59.5,83.3,84.0,1.37,150,288.1,7.81,5.49,63.9
A1165,running,24,M,12,59.6,90.3,77.5,1.34,174,350.0,9.85,8.26,91.3
A1166,running,27,M,9,64.7,70.6,79.6,1.35,169,260.5,7.88,9.69,77.6
A1167,running,24,M,4,66.2,95.6,73.9,1.12,184,341.4,8.66,8.77,76.2
A1168,rowing,32,M,9,61.3,99.2,83.6,0.81,194,251.7,9.4,6.39,96.8
A1169,running,32,M,4,74.2,79.8,74.4,0.92,155,356.1,8.54,8.59,99.7
A1170,running,21,M,2,52.1,97.5,70.0,1.32,155,366.1,9.88,6.47,90.6
A1171,cycling,23,M,15,58.7,60.0,88.7,1.33,199,359.5,9.53,5.56,91.7
A1172,running,22,M,4,60.5,95.8,76.1,1.48,186,243.1,9.76,8.59,68.3
A1173,rowing,29,F,6,50.4,72.4,73.9,0.93,198,338.8,8.12,5.9,67.7
A1174,rowing,18,F,6,59.1,72.5,75.4,0.89,152,307.7,8.65,5.56,99.2
A1175,rowing,25,M,5,56.8,69.1,76.6,0.9,186,397.2,9.52,7.76,87.8
A1176,rowing,18,F,15,62.7,72.7,79.5,0.93,180,272.3,9.71,8.1,87.5
A1177,running,22,F,15,58.4,68.5,71.4,1.17,184,354.3,9.83,5.26,71.4
